9. How much do you spend on airtime every week?,Burundi,Congo
"More than TZS 5,000",0.02,0.10067114093959731
"TZS 1,000 - 5,000",0.43333333333333335,0.5167785234899329
"Less than TZS 1,000",0.5466666666666666,0.37583892617449666
I don't ever buy airtime,,0.006711409395973154
